RPM,Velocity (m/s),Velocity (mph),J,Efficiency,Ct,Cp,Power (W),Thrust (N),Thrust/Power,Source
1000,0,0,0,0,0.093,0.0404,1.304,0.507,39.625,apc
1000,0,0,0,0,0.093,0.0404,1.4914,0.50709708,34.67179254591428,apc
1000,0.1519936,0.34,0.0259,0.0581,0.0919,0.0409,1.32,0.5,38.639,apc
1000,0.3084576,0.69,0.0517,0.1132,0.0906,0.0414,1.336,0.493,37.648,apc
1000,0.4604512,1.03,0.0776,0.1654,0.0892,0.0418,1.351,0.486,36.657,apc
1000,0.6124448,1.37,0.1035,0.2145,0.0876,0.0423,1.364,0.477,35.668,apc
1000,0.7689088,1.72,0.1294,0.2608,0.0859,0.0426,1.376,0.468,34.685,apc
1000,0.9209024,2.06,0.1552,0.3041,0.0841,0.0429,1.385,0.458,33.709,apc
1000,1.0728959999999998,2.4,0.1811,0.3447,0.0821,0.0431,1.393,0.447,32.742,apc
1000,1.2248896,2.74,0.207,0.3824,0.08,0.0433,1.397,0.435,31.785,apc
1000,1.3813536,3.09,0.2329,0.4174,0.0776,0.0433,1.398,0.423,30.838,apc
1000,1.5333472000000001,3.43,0.2587,0.4496,0.0751,0.0432,1.395,0.409,29.9,apc
1000,1.6853408,3.77,0.2846,0.4792,0.0724,0.043,1.388,0.394,28.969,apc
1000,1.8418048,4.12,0.3105,0.506,0.0695,0.0426,1.376,0.378,28.043,apc
1000,1.9937984,4.46,0.3363,0.5301,0.0664,0.0421,1.36,0.362,27.116,apc
1000,2.1457919999999997,4.8,0.3622,0.5512,0.0631,0.0415,1.338,0.344,26.183,apc
1000,2.3022560000000003,5.15,0.3881,0.5693,0.0596,0.0406,1.311,0.325,25.238,apc
1000,2.4542496000000003,5.49,0.414,0.584,0.0559,0.0396,1.279,0.305,24.273,apc
1000,2.6062432,5.83,0.4398,0.5951,0.0521,0.0385,1.242,0.284,23.279,apc
1000,2.7582367999999997,6.17,0.4657,0.6021,0.0481,0.0372,1.2,0.262,22.244,apc
1000,2.9147008,6.52,0.4916,0.6044,0.044,0.0358,1.154,0.239,21.155,apc
1000,3.0666944000000003,6.86,0.5175,0.6014,0.0397,0.0342,1.103,0.216,19.996,apc
1000,3.218688,7.2,0.5433,0.592,0.0354,0.0325,1.049,0.193,18.748,apc
1000,3.375152,7.55,0.5692,0.5752,0.031,0.0307,0.991,0.169,17.387,apc
1000,3.5271456,7.89,0.5951,0.5493,0.0266,0.0288,0.929,0.145,15.882,apc
1000,3.6791392000000003,8.23,0.6209,0.5121,0.0221,0.0268,0.864,0.12,14.191,apc
1000,3.8356032,8.58,0.6468,0.4608,0.0176,0.0247,0.796,0.096,12.257,apc
1000,3.9875968,8.92,0.6727,0.391,0.0131,0.0225,0.725,0.071,10.002,apc
1000,4.1395903999999994,9.26,0.6986,0.2968,0.0086,0.0202,0.652,0.047,7.309,apc
1000,4.291583999999999,9.6,0.7244,0.1688,0.0042,0.0179,0.577,0.023,4.008,apc
1000,4.448048,9.95,0.7503,-0.0078,-0.0002,0.0155,0.501,-0.001,-0.178,apc
2000,0,0,0,0,0.0933,0.0368,9.502,2.033,21.819,apc
2000,0,0,0,0,0.0933,0.0368,9.6941,2.03283654,21.38327826380948,apc
2000,0.3084576,0.69,0.026,0.0641,0.0922,0.0374,9.646,2.008,21.223,apc
2000,0.6169152,1.38,0.052,0.1246,0.0909,0.0379,9.786,1.98,20.629,apc
2000,0.9253727999999999,2.07,0.078,0.1816,0.0895,0.0384,9.919,1.949,20.038,apc
2000,1.2338304,2.76,0.104,0.2351,0.0879,0.0389,10.041,1.916,19.453,apc
2000,1.542288,3.45,0.1299,0.2851,0.0863,0.0393,10.15,1.879,18.876,apc
2000,1.8462752,4.13,0.1559,0.3318,0.0844,0.0397,10.242,1.839,18.307,apc
2000,2.1547328,4.82,0.1819,0.3753,0.0824,0.0399,10.315,1.795,17.749,apc
2000,2.4631904,5.51,0.2079,0.4157,0.0803,0.0401,10.363,1.748,17.201,apc
2000,2.771648,6.2,0.2339,0.4531,0.0779,0.0402,10.384,1.697,16.664,apc
2000,3.0801056,6.89,0.2599,0.4875,0.0754,0.0402,10.373,1.642,16.138,apc
2000,3.3885632,7.58,0.2859,0.5191,0.0726,0.04,10.329,1.582,15.621,apc
2000,3.6970207999999998,8.27,0.3119,0.5479,0.0697,0.0397,10.247,1.519,15.113,apc
2000,4.0054784,8.96,0.3379,0.5738,0.0666,0.0392,10.125,1.451,14.61,apc
2000,4.313936,9.65,0.3638,0.5968,0.0633,0.0386,9.96,1.378,14.112,apc
2000,4.6223936,10.34,0.3898,0.6169,0.0598,0.0378,9.749,1.302,13.614,apc
2000,4.930851199999999,11.03,0.4158,0.6338,0.056,0.0368,9.494,1.221,13.113,apc
2000,5.2348384,11.71,0.4418,0.6473,0.0522,0.0356,9.195,1.136,12.604,apc
2000,5.543296,12.4,0.4678,0.6569,0.0482,0.0343,8.854,1.049,12.081,apc
2000,5.8517535999999994,13.09,0.4938,0.6622,0.044,0.0328,8.474,0.959,11.538,apc
2000,6.1602112,13.78,0.5198,0.6626,0.0398,0.0312,8.056,0.866,10.966,apc
2000,6.4686688000000006,14.47,0.5458,0.6569,0.0354,0.0294,7.602,0.772,10.355,apc
2000,6.7771264,15.16,0.5717,0.6441,0.031,0.0276,7.114,0.676,9.692,apc
2000,7.085584,15.85,0.5977,0.6223,0.0266,0.0255,6.593,0.579,8.956,apc
2000,7.3940415999999995,16.54,0.6237,0.589,0.0221,0.0234,6.041,0.481,8.124,apc
2000,7.7024992,17.23,0.6497,0.5404,0.0176,0.0212,5.462,0.383,7.155,apc
2000,8.0109568,17.92,0.6757,0.4707,0.0131,0.0188,4.858,0.285,5.993,apc
2000,8.3194144,18.61,0.7017,0.3706,0.0087,0.0164,4.232,0.189,4.543,apc
2000,8.6234016,19.29,0.7277,0.2238,0.0043,0.0139,3.59,0.093,2.646,apc
2000,8.9318592,19.98,0.7537,-0.0004,0,0.0114,2.936,0,-0.005,apc
3000,0,0,0,0,0.0936,0.0353,30.573700000000002,4.58611482,15.295942710670783,apc
3000,0,0,0,0,0.0936,0.0353,30.727,4.587,15.222,apc
3000,0.4649216,1.04,0.026,0.0672,0.0924,0.0358,31.235,4.53,14.788,apc
3000,0.9253727999999999,2.07,0.0521,0.1304,0.0911,0.0364,31.729,4.467,14.356,apc
3000,1.3902944,3.11,0.0781,0.1898,0.0897,0.037,32.199,4.398,13.928,apc
3000,1.8507455999999998,4.14,0.1042,0.2454,0.0882,0.0375,32.635,4.323,13.506,apc
3000,2.3156672,5.18,0.1302,0.2973,0.0865,0.0379,33.027,4.24,13.091,apc
