RPM,Velocity (m/s),Velocity (mph),J,Efficiency,Ct,Cp,Power (W),Thrust (N),Thrust/Power,Source
1000,0,0,0,0,0.1157,0.0614,0.916,0.34,37.856,apc
1000,0,0,0,0,0.1157,0.0614,0.7457,0.33806472,46.22905672788569,apc
1000,0.1475232,0.33,0.0288,0.053,0.1143,0.0621,0.927,0.336,36.947,apc
1000,0.290576,0.65,0.0576,0.1033,0.1127,0.0628,0.938,0.331,36.03,apc
1000,0.43809919999999997,0.98,0.0864,0.1511,0.111,0.0635,0.948,0.326,35.109,apc
1000,0.5856224,1.31,0.1152,0.1961,0.1091,0.0641,0.957,0.321,34.186,apc
1000,0.7331456,1.64,0.1439,0.2385,0.1071,0.0646,0.965,0.315,33.265,apc
1000,0.8761983999999999,1.96,0.1727,0.2784,0.1048,0.065,0.971,0.308,32.346,apc
1000,1.0237216,2.29,0.2015,0.3156,0.1023,0.0653,0.976,0.301,31.431,apc
1000,1.1712448,2.62,0.2303,0.3502,0.0996,0.0655,0.979,0.293,30.521,apc
1000,1.3142976,2.94,0.2591,0.3823,0.0967,0.0656,0.979,0.284,29.614,apc
1000,1.4618208,3.27,0.2879,0.4118,0.0936,0.0654,0.977,0.275,28.711,apc
1000,1.609344,3.6,0.3167,0.4387,0.0902,0.0651,0.972,0.265,27.81,apc
1000,1.7568672,3.93,0.3455,0.4631,0.0866,0.0646,0.964,0.254,26.908,apc
1000,1.89992,4.25,0.3743,0.4848,0.0827,0.0638,0.953,0.243,26.002,apc
1000,2.0474432,4.58,0.4031,0.5038,0.0785,0.0628,0.938,0.231,25.089,apc
1000,2.1949664,4.91,0.4318,0.5199,0.0742,0.0616,0.92,0.218,24.164,apc
1000,2.3380192,5.23,0.4606,0.5329,0.0696,0.0602,0.898,0.205,23.221,apc
1000,2.4855424,5.56,0.4894,0.5426,0.0649,0.0585,0.874,0.191,22.254,apc
1000,2.6330655999999997,5.89,0.5182,0.5487,0.06,0.0566,0.846,0.176,21.253,apc
1000,2.7805888,6.22,0.547,0.5507,0.0549,0.0546,0.815,0.162,20.208,apc
1000,2.9236416,6.54,0.5758,0.5481,0.0498,0.0523,0.781,0.146,19.107,apc
1000,3.0711648,6.87,0.6046,0.5401,0.0445,0.0499,0.744,0.131,17.933,apc
1000,3.218688,7.2,0.6334,0.5258,0.0392,0.0472,0.705,0.115,16.663,apc
1000,3.3617407999999998,7.52,0.6622,0.5037,0.0338,0.0444,0.663,0.099,15.27,apc
1000,3.509264,7.85,0.6909,0.472,0.0282,0.0413,0.617,0.083,13.713,apc
1000,3.6567871999999997,8.18,0.7197,0.428,0.0227,0.0381,0.57,0.067,11.937,apc
1000,3.8043104,8.51,0.7485,0.3677,0.0171,0.0348,0.519,0.05,9.86,apc
1000,3.9473632,8.83,0.7773,0.285,0.0114,0.0312,0.466,0.034,7.36,apc
1000,4.0948864,9.16,0.8061,0.1703,0.0058,0.0275,0.411,0.017,4.241,apc
1000,4.2424096,9.49,0.8349,0.007,0.0002,0.0237,0.353,0.001,0.169,apc
2000,0,0,0,0,0.1163,0.0539,6.443,1.367,21.643,apc
2000,0,0,0,0,0.1163,0.0539,6.7113,1.36560354,20.74900645535221,apc
2000,0.2950464,0.66,0.0291,0.061,0.1149,0.0548,6.541,1.351,21.06,apc
2000,0.5900928,1.32,0.0581,0.1185,0.1133,0.0556,6.636,1.333,20.477,apc
2000,0.8851392,1.98,0.0872,0.1728,0.1116,0.0563,6.726,1.312,19.897,apc
2000,1.1801856,2.64,0.1162,0.2237,0.1097,0.057,6.81,1.29,19.321,apc
2000,1.4752319999999999,3.3,0.1453,0.2714,0.1077,0.0576,6.884,1.266,18.752,apc
2000,1.7702784,3.96,0.1743,0.3159,0.1054,0.0582,6.947,1.239,18.19,apc
2000,2.0653248,4.62,0.2034,0.3574,0.1029,0.0586,6.997,1.21,17.636,apc
2000,2.3603712,5.28,0.2324,0.3958,0.1002,0.0589,7.03,1.178,17.091,apc
2000,2.6554176000000003,5.94,0.2615,0.4313,0.0973,0.059,7.045,1.144,16.556,apc
2000,2.9504639999999998,6.6,0.2905,0.464,0.0941,0.0589,7.039,1.106,16.029,apc
2000,3.2455103999999997,7.26,0.3196,0.4938,0.0907,0.0587,7.01,1.066,15.51,apc
2000,3.5405568,7.92,0.3486,0.5209,0.087,0.0582,6.954,1.023,14.997,apc
2000,3.8356032,8.58,0.3777,0.5453,0.083,0.0575,6.871,0.976,14.491,apc
2000,4.1306496,9.24,0.4067,0.5669,0.0788,0.0566,6.758,0.927,13.988,apc
2000,4.425696,9.9,0.4358,0.5856,0.0744,0.0554,6.617,0.875,13.486,apc
2000,4.7207424,10.56,0.4648,0.6013,0.0698,0.054,6.446,0.821,12.983,apc
2000,5.0157888,11.22,0.4939,0.6139,0.065,0.0523,6.249,0.764,12.475,apc
2000,5.3108352000000005,11.88,0.5229,0.623,0.0601,0.0504,6.024,0.706,11.957,apc
2000,5.610352000000001,12.55,0.552,0.6283,0.055,0.0483,5.772,0.647,11.424,apc
2000,5.9053984,13.21,0.581,0.6292,0.0498,0.046,5.494,0.586,10.868,apc
2000,6.2004448,13.87,0.6101,0.6249,0.0445,0.0435,5.19,0.523,10.28,apc
2000,6.4954912,14.53,0.6391,0.6144,0.0391,0.0407,4.861,0.46,9.648,apc
2000,6.7905375999999995,15.19,0.6682,0.5961,0.0336,0.0377,4.506,0.396,8.953,apc
2000,7.085584,15.85,0.6973,0.5676,0.0281,0.0345,4.126,0.331,8.17,apc
2000,7.3806304,16.51,0.7263,0.5253,0.0225,0.0312,3.722,0.265,7.259,apc
2000,7.675676800000001,17.17,0.7554,0.4635,0.0169,0.0276,3.295,0.199,6.158,apc
2000,7.970723199999999,17.83,0.7844,0.3721,0.0113,0.0238,2.845,0.133,4.761,apc
2000,8.265769599999999,18.49,0.8135,0.2324,0.0057,0.0199,2.375,0.067,2.868,apc
2000,8.560815999999999,19.15,0.8425,0.0048,0.0001,0.0158,1.885,0.001,0.057,apc
3000,0,0,0,0,0.1167,0.0509,20.519,3.086,15.337,apc
3000,0,0,0,0,0.1167,0.0509,20.8796,3.0870646799999997,15.076581470466481,apc
3000,0.4515104,1.01,0.0296,0.0659,0.1152,0.0518,20.871,3.048,14.894,apc
3000,0.9030208,2.02,0.0592,0.128,0.1137,0.0526,21.213,3.007,14.454,apc
3000,1.3545311999999998,3.03,0.0889,0.1862,0.1119,0.0534,21.538,2.961,14.017,apc
3000,1.8060416,4.04,0.1185,0.2406,0.11,0.0542,21.84,2.91,13.586,apc
3000,2.257552,5.05,0.1481,0.2914,0.1079,0.0548,22.11,2.854,13.162,apc
3000,2.7090623999999996,6.06,0.1777,0.3386,0.1055,0.0554,22.34,2.792,12.745,apc
3000,3.1605728,7.07,0.2074,0.3824,0.103,0.0559,22.522,2.725,12.337,apc
3000,3.6120832,8.08,0.237,0.4229,0.1002,0.0562,22.646,2.651,11.938,apc
3000,4.0635936,9.09,0.2666,0.4602,0.0972,0.0563,22.705,2.571,11.548,apc
3000,4.515104,10.1,0.2962,0.4944,0.0939,0.0563,22.687,2.485,11.167,apc
3000,4.9666144,11.11,0.3259,0.5257,0.0904,0.056,22.585,2.391,10.794,apc
3000,5.418124799999999,12.12,0.3555,0.5541,0.0866,0.0555,22.389,2.29,10.429,apc
3000,5.8696352,13.13,0.3851,0.5796,0.0825,0.0548,22.093,2.182,10.07,apc
3000,6.3211456,14.14,0.4147,0.6022,0.0781,0.0538,21.692,2.067,9.716,apc
