RPM,Velocity (m/s),Velocity (mph),J,Efficiency,Ct,Cp,Power (W),Thrust (N),Thrust/Power,Source
1000,0,0,0,0,0.1047,0.0497,1.605,0.57,36.214,apc
1000,0,0,0,0,0.1047,0.0497,1.4914,0.56937216,38.92973198137744,apc
1000,0.1519936,0.34,0.0254,0.0522,0.1031,0.0502,1.619,0.561,35.349,apc
1000,0.2995168,0.67,0.0508,0.1019,0.1014,0.0506,1.632,0.552,34.477,apc
1000,0.4515104,1.01,0.0763,0.149,0.0995,0.0509,1.644,0.542,33.603,apc
1000,0.603504,1.35,0.1017,0.1934,0.0975,0.0513,1.654,0.531,32.728,apc
1000,0.7554976,1.69,0.1271,0.2353,0.0954,0.0515,1.663,0.519,31.853,apc
1000,0.9030208,2.02,0.1525,0.2746,0.0931,0.0517,1.668,0.507,30.978,apc
1000,1.0550144,2.36,0.178,0.3114,0.0906,0.0518,1.671,0.493,30.106,apc
1000,1.207008,2.7,0.2034,0.3456,0.088,0.0518,1.671,0.479,29.234,apc
1000,1.3545311999999998,3.03,0.2288,0.3772,0.0852,0.0517,1.668,0.464,28.364,apc
1000,1.5065248,3.37,0.2542,0.4063,0.0822,0.0514,1.66,0.448,27.495,apc
1000,1.6585184,3.71,0.2796,0.4327,0.079,0.0511,1.648,0.43,26.624,apc
1000,1.8060416,4.04,0.3051,0.4566,0.0757,0.0506,1.632,0.412,25.749,apc
1000,1.9580351999999999,4.38,0.3305,0.4777,0.0721,0.0499,1.61,0.393,24.869,apc
1000,2.1100288,4.72,0.3559,0.496,0.0684,0.0491,1.583,0.372,23.98,apc
1000,2.2620223999999998,5.06,0.3813,0.5115,0.0645,0.0481,1.552,0.351,23.077,apc
1000,2.4095456,5.39,0.4068,0.5238,0.0604,0.0469,1.515,0.329,22.156,apc
1000,2.5615392000000003,5.73,0.4322,0.5328,0.0563,0.0456,1.473,0.306,21.211,apc
1000,2.7135328000000003,6.07,0.4576,0.5381,0.052,0.0442,1.426,0.283,20.233,apc
1000,2.861056,6.4,0.483,0.5394,0.0476,0.0426,1.375,0.259,19.213,apc
1000,3.0130496,6.74,0.5084,0.5361,0.0431,0.0409,1.319,0.235,18.14,apc
1000,3.1650432,7.08,0.5339,0.5274,0.0385,0.039,1.258,0.21,16.997,apc
1000,3.3125664,7.41,0.5593,0.5124,0.0338,0.0369,1.192,0.184,15.763,apc
1000,3.46456,7.75,0.5847,0.4898,0.0291,0.0348,1.122,0.159,14.414,apc
1000,3.6165536,8.09,0.6101,0.4578,0.0243,0.0324,1.047,0.133,12.91,apc
1000,3.7685472,8.43,0.6356,0.4137,0.0195,0.03,0.967,0.106,11.199,apc
