RPM,Velocity (m/s),Velocity (mph),J,Efficiency,Ct,Cp,Power (W),Thrust (N),Thrust/Power,Source
1000,0,0,0,0,0.0989,0.0446,2.031,0.709,35.63,apc
1000,0,0,0,0,0.0989,0.0446,2.2371000000000003,0.7117152,32.441443317814525,apc
1000,0.1519936,0.34,0.0241,0.0521,0.0973,0.0449,2.048,0.698,34.759,apc
1000,0.3039872,0.68,0.0481,0.1016,0.0955,0.0453,2.063,0.686,33.886,apc
1000,0.4604512,1.03,0.0722,0.1485,0.0937,0.0456,2.077,0.672,33.012,apc
1000,0.6124448,1.37,0.0963,0.1927,0.0917,0.0458,2.088,0.658,32.139,apc
1000,0.7644384,1.71,0.1204,0.2344,0.0896,0.046,2.096,0.643,31.268,apc
1000,0.9164319999999999,2.05,0.1444,0.2734,0.0873,0.0461,2.101,0.626,30.399,apc
1000,1.0684256,2.39,0.1685,0.3099,0.0848,0.0461,2.102,0.609,29.533,apc
1000,1.2248896,2.74,0.1926,0.3438,0.0822,0.0461,2.099,0.59,28.67,apc
1000,1.3768832,3.08,0.2167,0.3752,0.0795,0.0459,2.092,0.57,27.807,apc
1000,1.5288768,3.42,0.2407,0.4039,0.0766,0.0456,2.079,0.549,26.946,apc
1000,1.6808703999999999,3.76,0.2648,0.4301,0.0735,0.0452,2.061,0.527,26.083,apc
1000,1.8328639999999998,4.1,0.2889,0.4536,0.0702,0.0447,2.038,0.504,25.217,apc
1000,1.989328,4.45,0.3129,0.4744,0.0668,0.0441,2.009,0.48,24.345,apc
1000,2.1413216,4.79,0.337,0.4924,0.0633,0.0433,1.974,0.454,23.464,apc
1000,2.2933152,5.13,0.3611,0.5075,0.0596,0.0424,1.934,0.428,22.57,apc
1000,2.4453088,5.47,0.3852,0.5195,0.0559,0.0414,1.887,0.401,21.658,apc
1000,2.5973024,5.81,0.4092,0.5281,0.052,0.0403,1.835,0.373,20.722,apc
1000,2.749296,6.15,0.4333,0.533,0.048,0.039,1.778,0.344,19.754,apc
1000,2.90576,6.5,0.4574,0.5339,0.0439,0.0376,1.714,0.315,18.746,apc
1000,3.0577536,6.84,0.4814,0.5302,0.0398,0.0361,1.645,0.285,17.686,apc
1000,3.2097472,7.18,0.5055,0.5213,0.0355,0.0344,1.57,0.255,16.559,apc
1000,3.3617407999999998,7.52,0.5296,0.506,0.0312,0.0327,1.489,0.224,15.344,apc
1000,3.5137344,7.86,0.5537,0.4833,0.0268,0.0308,1.402,0.193,14.016,apc
1000,3.6701984000000003,8.21,0.5777,0.4512,0.0224,0.0287,1.309,0.161,12.54,apc
1000,3.8221920000000003,8.55,0.6018,0.4072,0.018,0.0266,1.211,0.129,10.865,apc
1000,3.9741856,8.89,0.6259,0.3476,0.0135,0.0243,1.106,0.097,8.918,apc
1000,4.1261792,9.23,0.65,0.2668,0.009,0.0219,0.997,0.064,6.591,apc
1000,4.2781728,9.57,0.674,0.1558,0.0045,0.0194,0.883,0.032,3.712,apc
1000,4.4346368,9.92,0.6981,-0.001,0,0.0167,0.763,0,-0.024,apc
2000,0,0,0,0,0.0993,0.0395,14.383,2.852,20.216,apc
2000,0,0,0,0,0.0993,0.0395,14.1683,2.85130902,20.521347203999124,apc
2000,0.3084576,0.69,0.0242,0.0594,0.0977,0.0399,14.541,2.806,19.675,apc
