RPM,Velocity (m/s),Velocity (mph),J,Efficiency,Ct,Cp,Power (W),Thrust (N),Thrust/Power,Source
1000,0,0,0,0,0.1256,0.0693,0.416,0.178,43.652,apc
1000,0,0,0,0,0.1256,0.0693,0.7457,0.1779288,24.331082488360895,apc
1000,0.1385824,0.31,0.0324,0.0574,0.1245,0.0703,0.422,0.177,42.662,apc
1000,0.2726944,0.61,0.0648,0.1121,0.1234,0.0713,0.428,0.175,41.651,apc
1000,0.4112768,0.92,0.0972,0.164,0.122,0.0724,0.434,0.173,40.626,apc
1000,0.5498592,1.23,0.1296,0.2131,0.1206,0.0734,0.44,0.171,39.591,apc
1000,0.6839712,1.53,0.1621,0.2594,0.1189,0.0743,0.446,0.169,38.553,apc
1000,0.8225536,1.84,0.1945,0.3029,0.1171,0.0752,0.451,0.166,37.516,apc
1000,0.961136,2.15,0.2269,0.3436,0.115,0.0759,0.456,0.163,36.483,apc
1000,1.0997184,2.46,0.2593,0.3817,0.1126,0.0765,0.459,0.16,35.459,apc
1000,1.2338304,2.76,0.2917,0.4171,0.11,0.077,0.462,0.156,34.446,apc
1000,1.3724128,3.07,0.3241,0.45,0.1072,0.0772,0.463,0.152,33.446,apc
1000,1.5109952,3.38,0.3565,0.4804,0.104,0.0772,0.463,0.147,32.457,apc
1000,1.6451072,3.68,0.3889,0.5083,0.1004,0.0769,0.461,0.142,31.48,apc
1000,1.7836896,3.99,0.4214,0.5337,0.0966,0.0762,0.458,0.137,30.51,apc
1000,1.922272,4.3,0.4538,0.5566,0.0924,0.0753,0.452,0.131,29.544,apc
1000,2.056384,4.6,0.4862,0.5767,0.0878,0.074,0.444,0.124,28.574,apc
1000,2.1949664,4.91,0.5186,0.594,0.0829,0.0724,0.434,0.118,27.591,apc
1000,2.3335488,5.22,0.551,0.6081,0.0777,0.0704,0.422,0.11,26.583,apc
1000,2.4676608,5.52,0.5834,0.6184,0.0721,0.068,0.408,0.102,25.534,apc
1000,2.6062432,5.83,0.6158,0.6245,0.0663,0.0653,0.392,0.094,24.428,apc
1000,2.7448256,6.14,0.6482,0.6255,0.0602,0.0623,0.374,0.085,23.243,apc
1000,2.883408,6.45,0.6806,0.6204,0.0539,0.0591,0.355,0.076,21.956,apc
1000,3.0175199999999998,6.75,0.7131,0.6079,0.0474,0.0556,0.334,0.067,20.535,apc
1000,3.1561024,7.06,0.7455,0.5862,0.0408,0.0519,0.312,0.058,18.941,apc
1000,3.2946848,7.37,0.7779,0.5529,0.0341,0.048,0.288,0.048,17.12,apc
1000,3.4287967999999998,7.67,0.8103,0.5046,0.0274,0.044,0.264,0.039,15,apc
1000,3.5673792,7.98,0.8427,0.4364,0.0206,0.0397,0.239,0.029,12.475,apc
1000,3.7059615999999997,8.29,0.8751,0.3411,0.0138,0.0354,0.212,0.02,9.39,apc
1000,3.8400735999999998,8.59,0.9075,0.2072,0.0071,0.031,0.186,0.01,5.499,apc
1000,3.978656,8.9,0.9399,0.0156,0.0004,0.0264,0.159,0.001,0.399,apc
2000,0,0,0,0,0.1261,0.0631,3.028,0.715,24.069,apc
2000,0,0,0,0,0.1261,0.0631,2.9828,0.71616342,24.48315175391315,apc
2000,0.2771648,0.62,0.0327,0.0637,0.125,0.0642,3.081,0.709,23.464,apc
2000,0.5543296,1.24,0.0654,0.1241,0.1239,0.0653,3.135,0.702,22.849,apc
2000,0.8314944000000001,1.86,0.0981,0.1811,0.1226,0.0664,3.188,0.695,22.229,apc
2000,1.1086592,2.48,0.1308,0.2347,0.1211,0.0675,3.241,0.687,21.607,apc
2000,1.385824,3.1,0.1635,0.2849,0.1194,0.0686,3.291,0.677,20.986,apc
