RPM,Velocity (m/s),Velocity (mph),J,Efficiency,Ct,Cp,Power (W),Thrust (N),Thrust/Power,Source
1000,0,0,0,0,0.0807,0.0317,1.4914,0.5782686,39.538009043586456,apc
1000,0,0,0,0,0.0807,0.0317,1.446,0.579,40.863,apc
1000,0.13411199999999998,0.3,0.0208,0.0517,0.0793,0.0319,1.455,0.569,39.913,apc
1000,0.2637536,0.59,0.0416,0.1009,0.0778,0.0321,1.462,0.559,38.956,apc
1000,0.3978656,0.89,0.0624,0.1476,0.0763,0.0322,1.469,0.547,37.995,apc
1000,0.5275072,1.18,0.0832,0.1918,0.0746,0.0323,1.473,0.535,37.032,apc
1000,0.6616192,1.48,0.104,0.2335,0.0728,0.0324,1.476,0.522,36.067,apc
1000,0.7912608,1.77,0.1248,0.2727,0.0709,0.0324,1.477,0.508,35.1,apc
1000,0.9253727999999999,2.07,0.1456,0.3094,0.0688,0.0324,1.476,0.494,34.131,apc
1000,1.0550144,2.36,0.1664,0.3435,0.0667,0.0323,1.472,0.479,33.159,apc
1000,1.1891264000000001,2.66,0.1872,0.3751,0.0644,0.0322,1.465,0.462,32.184,apc
1000,1.3187680000000002,2.95,0.208,0.4041,0.0621,0.0319,1.455,0.445,31.202,apc
1000,1.45288,3.25,0.2288,0.4304,0.0596,0.0317,1.443,0.427,30.213,apc
1000,1.5825216,3.54,0.2496,0.454,0.0569,0.0313,1.427,0.409,29.212,apc
1000,1.7166336,3.84,0.2704,0.4747,0.0542,0.0309,1.407,0.389,28.195,apc
1000,1.8507455999999998,4.14,0.2912,0.4924,0.0514,0.0304,1.384,0.369,27.158,apc
1000,1.9803871999999998,4.43,0.312,0.5069,0.0484,0.0298,1.357,0.347,26.094,apc
1000,2.1144992,4.73,0.3327,0.5179,0.0453,0.0291,1.326,0.325,24.995,apc
1000,2.2441408,5.02,0.3535,0.5252,0.0421,0.0283,1.291,0.302,23.854,apc
1000,2.3782528000000003,5.32,0.3743,0.5283,0.0388,0.0275,1.253,0.279,22.662,apc
1000,2.5078944,5.61,0.3951,0.5267,0.0354,0.0266,1.212,0.254,21.407,apc
1000,2.6420064,5.91,0.4159,0.52,0.032,0.0256,1.167,0.23,20.075,apc
1000,2.771648,6.2,0.4367,0.5072,0.0285,0.0245,1.118,0.205,18.651,apc
1000,2.90576,6.5,0.4575,0.4876,0.025,0.0234,1.067,0.179,17.114,apc
1000,3.0354016,6.79,0.4783,0.4599,0.0214,0.0222,1.013,0.153,15.439,apc
1000,3.1695135999999997,7.09,0.4991,0.4225,0.0177,0.021,0.955,0.127,13.595,apc
1000,3.3036255999999997,7.39,0.5199,0.3736,0.0141,0.0196,0.895,0.101,11.538,apc
1000,3.4332672,7.68,0.5407,0.3104,0.0105,0.0183,0.833,0.075,9.217,apc
1000,3.5673792,7.98,0.5615,0.2293,0.0069,0.0169,0.768,0.049,6.559,apc
1000,3.6970207999999998,8.27,0.5823,0.1256,0.0033,0.0154,0.701,0.024,3.465,apc
1000,3.8311328000000002,8.57,0.6031,-0.008,-0.0002,0.0139,0.633,-0.001,-0.212,apc
2000,0,0,0,0,0.081,0.0287,10.4398,2.32641906,22.723493109665625,apc
2000,0,0,0,0,0.081,0.0287,10.467,2.326,22.659,apc
2000,0.2637536,0.59,0.0209,0.0575,0.0796,0.0289,10.55,2.286,22.092,apc
2000,0.5319775999999999,1.19,0.0418,0.112,0.0781,0.0291,10.624,2.243,21.526,apc
2000,0.7957312,1.78,0.0626,0.1635,0.0765,0.0293,10.687,2.197,20.963,apc
2000,1.0594848000000001,2.37,0.0835,0.2122,0.0748,0.0295,10.737,2.148,20.402,apc
2000,1.3277088000000001,2.97,0.1044,0.258,0.073,0.0295,10.772,2.096,19.844,apc
2000,1.5914624,3.56,0.1253,0.301,0.0711,0.0296,10.791,2.041,19.291,apc
2000,1.8552160000000002,4.15,0.1462,0.3412,0.0691,0.0296,10.79,1.983,18.741,apc
2000,2.12344,4.75,0.167,0.3785,0.0669,0.0295,10.768,1.921,18.196,apc
2000,2.3871936,5.34,0.1879,0.4132,0.0647,0.0294,10.724,1.856,17.653,apc
2000,2.6509471999999996,5.93,0.2088,0.445,0.0623,0.0292,10.654,1.788,17.113,apc
2000,2.9191712,6.53,0.2297,0.4741,0.0598,0.029,10.557,1.716,16.574,apc
2000,3.1829248,7.12,0.2506,0.5004,0.0571,0.0286,10.432,1.64,16.034,apc
2000,3.4466784,7.71,0.2714,0.5237,0.0544,0.0282,10.277,1.561,15.492,apc
2000,3.7104320000000004,8.3,0.2923,0.5441,0.0515,0.0277,10.09,1.479,14.945,apc
2000,3.978656,8.9,0.3132,0.5613,0.0485,0.0271,9.871,1.393,14.39,apc
2000,4.2424096,9.49,0.3341,0.5752,0.0454,0.0264,9.618,1.304,13.823,apc
2000,4.5061632,10.08,0.355,0.5853,0.0422,0.0256,9.333,1.212,13.24,apc
2000,4.7743872,10.68,0.3758,0.5915,0.0389,0.0247,9.015,1.117,12.635,apc
2000,5.0381408,11.27,0.3967,0.5931,0.0355,0.0238,8.666,1.02,12.003,apc
2000,5.301894399999999,11.86,0.4176,0.5895,0.0321,0.0227,8.287,0.921,11.335,apc
2000,5.5701184,12.46,0.4385,0.58,0.0286,0.0216,7.878,0.82,10.62,apc
2000,5.833872,13.05,0.4594,0.5634,0.025,0.0204,7.44,0.718,9.847,apc
2000,6.0976256,13.64,0.4802,0.5382,0.0214,0.0191,6.974,0.615,8.999,apc
2000,6.3658496,14.24,0.5011,0.5025,0.0178,0.0178,6.481,0.512,8.051,apc
2000,6.6296032,14.83,0.522,0.4533,0.0142,0.0164,5.964,0.408,6.972,apc
2000,6.8933568,15.42,0.5429,0.3865,0.0106,0.0149,5.423,0.304,5.717,apc
2000,7.161580799999999,16.02,0.5638,0.2962,0.007,0.0133,4.863,0.201,4.218,apc
2000,7.4253344,16.61,0.5846,0.1726,0.0035,0.0118,4.285,0.1,2.371,apc
2000,7.689088,17.2,0.6055,-0.0002,0,0.0101,3.692,0,-0.003,apc
3000,0,0,0,0,0.0813,0.0274,33.747,5.25,15.864,apc
3000,0,0,0,0,0.0813,0.0274,33.5565,5.2488996,15.950376297925475,apc
3000,0.3978656,0.89,0.0209,0.0605,0.0799,0.0277,34.046,5.159,15.453,apc
3000,0.8002016,1.79,0.0419,0.1177,0.0784,0.0279,34.314,5.062,15.044,apc
3000,1.1980672,2.68,0.0628,0.1718,0.0768,0.0281,34.546,4.959,14.638,apc
3000,1.5959328,3.57,0.0838,0.2228,0.0751,0.0282,34.734,4.849,14.236,apc
3000,1.9937984,4.46,0.1047,0.2707,0.0733,0.0283,34.871,4.732,13.838,apc
3000,2.3961344,5.36,0.1257,0.3156,0.0713,0.0284,34.95,4.608,13.444,apc
