RPM,Velocity (m/s),Velocity (mph),J,Efficiency,Ct,Cp,Power (W),Thrust (N),Thrust/Power,Source
1000,0,0,0,0,0.1204,0.0681,0.658,0.25,38.742,apc
1000,0,0,0,0,0.1204,0.0681,0.7457,0.24910032000000001,34.06351548370526,apc
1000,0.1430528,0.32,0.0308,0.0532,0.1192,0.069,0.667,0.247,37.82,apc
1000,0.2861056,0.64,0.0616,0.1038,0.1179,0.07,0.676,0.245,36.887,apc
1000,0.4291584,0.96,0.0924,0.1518,0.1163,0.0709,0.685,0.241,35.947,apc
1000,0.5722112,1.28,0.1233,0.197,0.1146,0.0717,0.693,0.238,35.004,apc
1000,0.7197344,1.61,0.1541,0.2397,0.1127,0.0725,0.701,0.234,34.061,apc
1000,0.8627872,1.93,0.1849,0.2797,0.1106,0.0732,0.707,0.23,33.12,apc
1000,1.00584,2.25,0.2157,0.317,0.1083,0.0737,0.712,0.225,32.184,apc
1000,1.1488927999999998,2.57,0.2465,0.3518,0.1057,0.0741,0.716,0.219,31.253,apc
1000,1.2919456,2.89,0.2773,0.3841,0.1029,0.0743,0.718,0.214,30.327,apc
1000,1.4349984,3.21,0.3082,0.4138,0.0998,0.0743,0.718,0.207,29.406,apc
1000,1.5780512,3.53,0.339,0.441,0.0964,0.0741,0.716,0.2,28.489,apc
1000,1.721104,3.85,0.3698,0.4656,0.0927,0.0736,0.712,0.192,27.573,apc
1000,1.8641568,4.17,0.4006,0.4876,0.0887,0.0729,0.704,0.184,26.655,apc
1000,2.0072096,4.49,0.4314,0.5069,0.0844,0.0718,0.694,0.175,25.731,apc
1000,2.1547328,4.82,0.4622,0.5234,0.0798,0.0705,0.681,0.166,24.796,apc
1000,2.2977855999999997,5.14,0.4931,0.5369,0.075,0.0689,0.666,0.156,23.844,apc
1000,2.4408384,5.46,0.5239,0.5471,0.07,0.067,0.647,0.145,22.868,apc
1000,2.5838912,5.78,0.5547,0.5537,0.0648,0.0649,0.627,0.134,21.857,apc
1000,2.7269439999999996,6.1,0.5855,0.5562,0.0594,0.0625,0.604,0.123,20.802,apc
1000,2.8699968,6.42,0.6163,0.5541,0.0539,0.0599,0.579,0.112,19.688,apc
1000,3.0130496,6.74,0.6471,0.5467,0.0482,0.0571,0.552,0.1,18.498,apc
1000,3.1561024,7.06,0.678,0.5328,0.0425,0.054,0.522,0.088,17.211,apc
1000,3.2991552,7.38,0.7088,0.5112,0.0366,0.0508,0.491,0.076,15.795,apc
1000,3.442208,7.7,0.7396,0.48,0.0307,0.0473,0.457,0.064,14.211,apc
1000,3.5897311999999997,8.03,0.7704,0.4363,0.0247,0.0436,0.421,0.051,12.401,apc
