RPM,Velocity (m/s),Velocity (mph),J,Efficiency,Ct,Cp,Power (W),Thrust (N),Thrust/Power,Source
1000,0,0,0,0,0.1539,0.0879,4.007,1.104,28.109,apc
1000,0,0,0,0,0.1539,0.0879,3.7285000000000004,1.10315856,30.17054228556751,apc
1000,0.2369312,0.53,0.0375,0.0639,0.1531,0.0898,4.09,1.099,27.395,apc
1000,0.4738624,1.06,0.0749,0.1243,0.1522,0.0917,4.178,1.092,26.66,apc
1000,0.715264,1.6,0.1124,0.1813,0.1511,0.0937,4.268,1.085,25.911,apc
1000,0.9521951999999999,2.13,0.1498,0.2347,0.1498,0.0957,4.359,1.075,25.154,apc
1000,1.1891264000000001,2.66,0.1873,0.2845,0.1483,0.0976,4.449,1.064,24.394,apc
1000,1.4260576,3.19,0.2247,0.3307,0.1465,0.0995,4.536,1.051,23.636,apc
1000,1.6629888000000002,3.72,0.2622,0.3736,0.1443,0.1013,4.616,1.036,22.884,apc
1000,1.9043903999999998,4.26,0.2996,0.4131,0.1418,0.1028,4.686,1.017,22.141,apc
1000,2.1413216,4.79,0.3371,0.4494,0.1388,0.1041,4.742,0.996,21.411,apc
1000,2.3782528000000003,5.32,0.3745,0.4826,0.1352,0.1049,4.781,0.97,20.695,apc
1000,2.6151839999999997,5.85,0.412,0.5129,0.1311,0.1053,4.796,0.94,19.995,apc
1000,2.8521152,6.38,0.4494,0.5404,0.1263,0.105,4.786,0.906,19.31,apc
1000,3.0935167999999997,6.92,0.4869,0.5651,0.1209,0.1042,4.747,0.868,18.639,apc
1000,3.330448,7.45,0.5243,0.587,0.115,0.1027,4.68,0.825,17.979,apc
1000,3.5673792,7.98,0.5618,0.6061,0.1086,0.1006,4.586,0.779,17.325,apc
1000,3.8043104,8.51,0.5992,0.622,0.1017,0.098,4.465,0.73,16.669,apc
1000,4.041241599999999,9.04,0.6367,0.6346,0.0945,0.0948,4.32,0.678,16.006,apc
1000,4.2826432,9.58,0.6741,0.6434,0.087,0.0911,4.152,0.624,15.327,apc
1000,4.5195744,10.11,0.7116,0.6479,0.0792,0.0869,3.961,0.568,14.622,apc
1000,4.7565056000000006,10.64,0.749,0.6473,0.0711,0.0823,3.749,0.51,13.878,apc
1000,4.9934368,11.17,0.7865,0.6406,0.0628,0.0771,3.515,0.451,13.08,apc
1000,5.2303679999999995,11.7,0.8239,0.6262,0.0544,0.0716,3.261,0.39,12.204,apc
1000,5.4717696,12.24,0.8614,0.6017,0.0458,0.0656,2.987,0.329,11.218,apc
1000,5.7087008,12.77,0.8988,0.5637,0.0371,0.0591,2.694,0.266,10.071,apc
1000,5.945632,13.3,0.9363,0.5062,0.0283,0.0523,2.382,0.203,8.683,apc
1000,6.1825632,13.83,0.9737,0.4194,0.0194,0.045,2.052,0.139,6.917,apc
1000,6.4194944,14.36,1.0112,0.2843,0.0105,0.0375,1.707,0.076,4.515,apc
1000,6.660896,14.9,1.0486,0.0605,0.0017,0.0296,1.348,0.012,0.927,apc
1000,6.8978272,15.43,1.0861,,,,,,,apc
2000,0,0,0,0,0.1547,0.0795,28.982,4.439,15.62,apc
2000,0,0,0,0,0.1547,0.0795,29.0823,4.43932356,15.565654053451393,apc
2000,0.4649216,1.04,0.0367,0.0695,0.1539,0.0814,29.657,4.419,15.193,apc
2000,0.9343136,2.09,0.0734,0.1349,0.1531,0.0833,30.365,4.395,14.758,apc
2000,1.3992352,3.13,0.1101,0.1963,0.1521,0.0853,31.098,4.366,14.316,apc
2000,1.8641568,4.17,0.1468,0.2537,0.1509,0.0874,31.843,4.332,13.872,apc
