RPM,Velocity (m/s),Velocity (mph),J,Efficiency,Ct,Cp,Power (W),Thrust (N),Thrust/Power,Source
1000,0,0,0,0,0.0955,0.0403,2.536,0.887,35.67,apc
1000,0,0,0,0,0.0955,0.0403,2.2371000000000003,0.8851957800000001,40.34904512653183,apc
1000,0.178816,0.4,0.0265,0.0611,0.0943,0.0408,2.57,0.876,34.761,apc
1000,0.357632,0.8,0.0529,0.119,0.093,0.0414,2.604,0.864,33.846,apc
1000,0.5364479999999999,1.2,0.0794,0.1737,0.0916,0.0419,2.636,0.851,32.929,apc
1000,0.715264,1.6,0.1059,0.2251,0.0901,0.0424,2.666,0.837,32.014,apc
1000,0.8985503999999999,2.01,0.1323,0.2734,0.0884,0.0428,2.692,0.821,31.104,apc
1000,1.0773664,2.41,0.1588,0.3186,0.0866,0.0432,2.715,0.804,30.201,apc
1000,1.2561824,2.81,0.1853,0.3607,0.0846,0.0434,2.734,0.786,29.308,apc
1000,1.4349984,3.21,0.2117,0.3998,0.0824,0.0436,2.746,0.766,28.426,apc
1000,1.6138143999999999,3.61,0.2382,0.436,0.0801,0.0437,2.752,0.744,27.555,apc
1000,1.7926304,4.01,0.2647,0.4693,0.0775,0.0437,2.751,0.72,26.696,apc
1000,1.9714464,4.41,0.2911,0.4998,0.0748,0.0436,2.741,0.695,25.847,apc
1000,2.1502624,4.81,0.3176,0.5276,0.0718,0.0433,2.721,0.667,25.008,apc
1000,2.3290783999999998,5.21,0.3441,0.5525,0.0687,0.0428,2.692,0.638,24.174,apc
1000,2.5078944,5.61,0.3705,0.5745,0.0654,0.0422,2.652,0.607,23.344,apc
1000,2.6911807999999997,6.02,0.397,0.5936,0.0618,0.0413,2.601,0.574,22.51,apc
1000,2.8699968,6.42,0.4235,0.6095,0.0581,0.0403,2.539,0.539,21.667,apc
1000,3.0488128,6.82,0.4499,0.6218,0.0541,0.0392,2.464,0.503,20.805,apc
1000,3.2276287999999997,7.22,0.4764,0.6303,0.05,0.0378,2.378,0.465,19.917,apc
1000,3.4064448,7.62,0.5029,0.6343,0.0457,0.0363,2.282,0.425,18.988,apc
1000,3.5852608,8.02,0.5293,0.6331,0.0413,0.0346,2.175,0.384,18.006,apc
1000,3.7640768,8.42,0.5558,0.6259,0.0368,0.0327,2.058,0.342,16.953,apc
1000,3.9428928,8.82,0.5823,0.6113,0.0323,0.0307,1.933,0.3,15.805,apc
1000,4.1217088,9.22,0.6087,0.5876,0.0276,0.0286,1.8,0.257,14.532,apc
1000,4.3005248,9.62,0.6352,0.5524,0.0229,0.0264,1.659,0.213,13.092,apc
1000,4.4838112,10.03,0.6617,0.5022,0.0182,0.024,1.511,0.169,11.427,apc
1000,4.6626272,10.43,0.6881,0.4319,0.0135,0.0216,1.357,0.126,9.45,apc
1000,4.8414432,10.83,0.7146,0.3336,0.0089,0.019,1.198,0.083,7.027,apc
1000,5.0202592,11.23,0.7411,0.1941,0.0043,0.0164,1.035,0.04,3.943,apc
1000,5.1990752,11.63,0.7675,-0.0092,-0.0002,0.0138,0.869,-0.002,-0.181,apc
2000,0,0,0,0,0.0958,0.037,18.645,3.56,19.472,apc
2000,0,0,0,0,0.0958,0.037,18.642500000000002,3.5585760000000004,19.46486599068872,apc
2000,0.3621024,0.81,0.0266,0.0668,0.0947,0.0376,18.944,3.517,18.933,apc
