RPM,Velocity (m/s),Velocity (mph),J,Efficiency,Ct,Cp,Power (W),Thrust (N),Thrust/Power,Source
1000,0,0,0,0,0.12,0.0648,2.09,0.654,31.891,apc
1000,0,0,0,0,0.12,0.0648,2.2371000000000003,0.65388834,29.805576048242095,apc
1000,0.21010879999999998,0.47,0.0351,0.0634,0.1193,0.066,2.132,0.649,31.066,apc
1000,0.41574720000000004,0.93,0.0703,0.1234,0.1183,0.0674,2.174,0.644,30.222,apc
1000,0.625856,1.4,0.1054,0.1799,0.1173,0.0687,2.218,0.639,29.366,apc
1000,0.8314944000000001,1.86,0.1406,0.2329,0.1161,0.0701,2.262,0.632,28.504,apc
1000,1.0416032,2.33,0.1757,0.2823,0.1147,0.0714,2.304,0.625,27.642,apc
1000,1.251712,2.8,0.2108,0.3282,0.1131,0.0727,2.345,0.616,26.786,apc
1000,1.4573504,3.26,0.246,0.3708,0.1113,0.0738,2.382,0.606,25.94,apc
1000,1.6674592,3.73,0.2811,0.4102,0.1092,0.0748,2.415,0.595,25.106,apc
1000,1.8730976000000001,4.19,0.3163,0.4464,0.1068,0.0757,2.442,0.582,24.288,apc
1000,2.0832064,4.66,0.3514,0.4797,0.1041,0.0763,2.462,0.567,23.486,apc
1000,2.2888448,5.12,0.3865,0.51,0.1011,0.0767,2.474,0.551,22.7,apc
1000,2.4989536,5.59,0.4217,0.5375,0.0978,0.0767,2.476,0.532,21.93,apc
1000,2.7090623999999996,6.06,0.4568,0.5622,0.094,0.0764,2.466,0.512,21.173,apc
1000,2.9147008,6.52,0.492,0.5841,0.0899,0.0757,2.444,0.49,20.427,apc
1000,3.1248096,6.99,0.5271,0.6032,0.0854,0.0746,2.408,0.465,19.689,apc
1000,3.330448,7.45,0.5622,0.6193,0.0805,0.0731,2.358,0.438,18.953,apc
1000,3.5405568,7.92,0.5974,0.6324,0.0753,0.0711,2.294,0.41,18.215,apc
1000,3.7506656,8.39,0.6325,0.6422,0.0697,0.0687,2.217,0.38,17.468,apc
1000,3.956304,8.85,0.6677,0.6481,0.064,0.0659,2.128,0.348,16.702,apc
1000,4.1664128,9.32,0.7028,0.6497,0.058,0.0628,2.026,0.316,15.906,apc
1000,4.3720512,9.78,0.7379,0.6462,0.0519,0.0593,1.914,0.283,15.066,apc
1000,4.58216,10.25,0.7731,0.6363,0.0457,0.0555,1.792,0.249,14.162,apc
1000,4.787798400000001,10.71,0.8082,0.6186,0.0393,0.0514,1.659,0.214,13.168,apc
1000,4.9979072,11.18,0.8433,0.5904,0.0329,0.047,1.517,0.179,12.046,apc
1000,5.208016,11.65,0.8785,0.5481,0.0264,0.0423,1.365,0.144,10.735,apc
1000,5.4136543999999995,12.11,0.9136,0.4854,0.0198,0.0373,1.204,0.108,9.141,apc
1000,5.6237632,12.58,0.9488,0.3916,0.0132,0.0321,1.035,0.072,7.101,apc
1000,5.8294016,13.04,0.9839,0.2461,0.0067,0.0266,0.858,0.036,4.304,apc
1000,6.0395104,13.51,1.019,0.005,0.0001,0.0209,0.675,0.001,0.085,apc
2000,0,0,0,0,0.1206,0.0583,15.051,2.626,17.792,apc
2000,0,0,0,0,0.1206,0.0583,14.914000000000001,2.6244498,17.94417333516616,apc
2000,0.42021759999999997,0.94,0.0354,0.0711,0.1198,0.0596,15.396,2.609,17.282,apc
2000,0.8404351999999999,1.88,0.0708,0.138,0.1189,0.061,15.756,2.59,16.763,apc
2000,1.2606528,2.82,0.1062,0.2005,0.1179,0.0625,16.124,2.568,16.24,apc
2000,1.6808703999999999,3.76,0.1416,0.2588,0.1167,0.0639,16.494,2.542,15.717,apc
