RPM,Velocity (m/s),Velocity (mph),J,Efficiency,Ct,Cp,Power (W),Thrust (N),Thrust/Power,Source
1000,0,0,0,0,0.0975,0.0408,4.63,1.451,31.959,apc
1000,0,0,0,0,0.0975,0.0408,4.474200000000001,1.45011972,33.049720380023544,apc
1000,0.2145792,0.48,0.028,0.0651,0.0965,0.0415,4.707,1.435,31.098,apc
1000,0.4291584,0.96,0.0561,0.1266,0.0953,0.0422,4.782,1.418,30.232,apc
1000,0.6392671999999999,1.43,0.0841,0.1845,0.094,0.0428,4.856,1.399,29.367,apc
1000,0.8538464,1.91,0.1121,0.2388,0.0925,0.0434,4.926,1.377,28.505,apc
1000,1.0684256,2.39,0.1401,0.2896,0.091,0.044,4.991,1.354,27.651,apc
1000,1.2830048,2.87,0.1682,0.3369,0.0892,0.0445,5.05,1.327,26.807,apc
1000,1.4931135999999998,3.34,0.1962,0.3809,0.0873,0.045,5.099,1.299,25.977,apc
1000,1.7076928,3.82,0.2242,0.4216,0.0852,0.0453,5.137,1.268,25.16,apc
1000,1.922272,4.3,0.2523,0.4592,0.0829,0.0455,5.162,1.233,24.36,apc
1000,2.1368512,4.78,0.2803,0.4938,0.0804,0.0456,5.172,1.196,23.576,apc
1000,2.3514304,5.26,0.3083,0.5255,0.0776,0.0456,5.165,1.155,22.808,apc
1000,2.5615392000000003,5.73,0.3363,0.5543,0.0747,0.0453,5.139,1.111,22.055,apc
1000,2.7761184,6.21,0.3644,0.5804,0.0715,0.0449,5.091,1.064,21.314,apc
1000,2.9906976000000003,6.69,0.3924,0.6036,0.0681,0.0443,5.021,1.014,20.583,apc
1000,3.2052768,7.17,0.4204,0.6238,0.0645,0.0435,4.927,0.959,19.856,apc
1000,3.4153856,7.64,0.4485,0.641,0.0606,0.0424,4.809,0.902,19.129,apc
1000,3.6299647999999998,8.12,0.4765,0.6549,0.0565,0.0411,4.664,0.841,18.394,apc
1000,3.844544,8.6,0.5045,0.6651,0.0523,0.0396,4.495,0.778,17.643,apc
1000,4.0591232,9.08,0.5325,0.6712,0.0478,0.038,4.303,0.712,16.865,apc
1000,4.2737024,9.56,0.5606,0.6723,0.0433,0.0361,4.089,0.644,16.049,apc
1000,4.4838112,10.03,0.5886,0.6676,0.0386,0.034,3.855,0.574,15.179,apc
1000,4.6983904,10.51,0.6166,0.6558,0.0338,0.0318,3.602,0.503,14.233,apc
1000,4.9129696,10.99,0.6447,0.6351,0.0289,0.0294,3.332,0.431,13.184,apc
1000,5.1275488000000005,11.47,0.6727,0.6029,0.0241,0.0269,3.045,0.358,11.994,apc
1000,5.3376576,11.94,0.7007,0.5553,0.0192,0.0242,2.744,0.285,10.604,apc
1000,5.5522368,12.42,0.7288,0.4861,0.0143,0.0214,2.429,0.213,8.927,apc
1000,5.766816,12.9,0.7568,0.3856,0.0095,0.0186,2.104,0.141,6.818,apc
1000,5.981395200000001,13.38,0.7848,0.2361,0.0047,0.0156,1.771,0.07,4.026,apc
1000,6.1959744,13.86,0.8128,0.0037,0.0001,0.0126,1.432,0.001,0.061,apc
2000,0,0,0,0,0.0979,0.0379,34.363,5.824,17.284,apc
2000,0,0,0,0,0.0979,0.0379,34.3022,5.82271998,17.309449444165445,apc
2000,0.4291584,0.96,0.0282,0.0707,0.0968,0.0386,35.014,5.762,16.78,apc
2000,0.8583168,1.92,0.0564,0.1371,0.0956,0.0393,35.663,5.692,16.276,apc
2000,1.2874752,2.88,0.0845,0.1993,0.0943,0.04,36.297,5.615,15.774,apc
2000,1.7166336,3.84,0.1127,0.2574,0.0929,0.0407,36.905,5.529,15.278,apc
2000,2.1457919999999997,4.8,0.1409,0.3114,0.0913,0.0413,37.473,5.435,14.79,apc
2000,2.5749504,5.76,0.1691,0.3616,0.0896,0.0419,37.986,5.331,14.31,apc
2000,3.0041088,6.72,0.1972,0.408,0.0876,0.0424,38.428,5.216,13.84,apc
2000,3.4332672,7.68,0.2254,0.4509,0.0855,0.0428,38.781,5.09,13.382,apc
2000,3.866896,8.65,0.2536,0.4903,0.0832,0.043,39.028,4.951,12.937,apc
2000,4.2960544,9.61,0.2818,0.5266,0.0807,0.0432,39.151,4.801,12.504,apc
2000,4.7252128,10.57,0.31,0.5598,0.0779,0.0431,39.133,4.637,12.083,apc
2000,5.1543712,11.53,0.3381,0.59,0.0749,0.0429,38.955,4.46,11.675,apc
2000,5.5835296,12.49,0.3663,0.6174,0.0717,0.0426,38.603,4.269,11.277,apc
2000,6.012688,13.45,0.3945,0.642,0.0683,0.042,38.064,4.064,10.888,apc
2000,6.4418464,14.41,0.4227,0.6637,0.0646,0.0411,37.326,3.846,10.507,apc
2000,6.8710048,15.37,0.4508,0.6826,0.0607,0.0401,36.379,3.614,10.13,apc
2000,7.300163199999999,16.33,0.479,0.6983,0.0566,0.0388,35.214,3.368,9.754,apc
2000,7.7293216,17.29,0.5072,0.7107,0.0523,0.0373,33.84,3.112,9.376,apc
2000,8.158479999999999,18.25,0.5354,0.7193,0.0478,0.0356,32.268,2.845,8.99,apc
2000,8.5876384,19.21,0.5636,0.7236,0.0432,0.0336,30.511,2.57,8.591,apc
2000,9.0167968,20.17,0.5917,0.7225,0.0385,0.0315,28.578,2.29,8.17,apc
2000,9.4459552,21.13,0.6199,0.7149,0.0337,0.0292,26.48,2.004,7.717,apc
2000,9.8751136,22.09,0.6481,0.699,0.0288,0.0267,24.227,1.715,7.217,apc
2000,10.304272000000001,23.05,0.6763,0.6719,0.0239,0.0241,21.832,1.423,6.648,apc
2000,10.7379008,24.02,0.7044,0.6293,0.019,0.0213,19.307,1.132,5.977,apc
2000,11.1670592,24.98,0.7326,0.5636,0.0141,0.0184,16.669,0.841,5.148,apc
2000,11.596217600000001,25.94,0.7608,0.4613,0.0093,0.0154,13.938,0.554,4.057,apc
2000,12.025376,26.9,0.789,0.2947,0.0046,0.0123,11.134,0.273,2.499,apc
2000,12.4545344,27.86,0.8172,-0.0021,0,0.0091,8.282,-0.001,-0.017,apc
2012,2.86109,6.40009,0.186616,0.455947,0.100195,0.041009,37.8422,6.0306,16.2504,uiuc
2012,3.52741,7.89061,0.230077,0.532496,0.096009,0.041483,38.2796,5.77865,15.3935,uiuc
2012,4.16958,9.32711,0.271963,0.596058,0.092191,0.042064,38.8157,5.54885,14.5772,uiuc
2012,4.79896,10.735,0.313014,0.648423,0.087521,0.042249,38.9865,5.26777,13.7782,uiuc
2012,5.42213,12.129,0.353661,0.687208,0.081109,0.041742,38.5186,4.88184,12.9239,uiuc
2012,5.99461,13.4096,0.391001,0.711673,0.072582,0.039878,36.7986,4.36861,12.1058,uiuc
