RPM,Velocity (m/s),Velocity (mph),J,Efficiency,Ct,Cp,Power (W),Thrust (N),Thrust/Power,Source
1000,0,0,0,0,0.1152,0.0608,0.908,0.339,38.014,apc
1000,0,0,0,0,0.1152,0.0608,0.7457,0.33806472,46.22905672788569,apc
1000,0.1698752,0.38,0.0337,0.0624,0.1144,0.0619,0.924,0.336,37.124,apc
1000,0.3442208,0.77,0.0675,0.1217,0.1135,0.0629,0.94,0.334,36.208,apc
1000,0.514096,1.15,0.1012,0.1778,0.1125,0.064,0.956,0.331,35.271,apc
1000,0.6839712,1.53,0.1349,0.2307,0.1114,0.0651,0.973,0.327,34.321,apc
1000,0.8583168,1.92,0.1687,0.2804,0.1101,0.0662,0.989,0.324,33.363,apc
1000,1.028192,2.3,0.2024,0.3268,0.1086,0.0673,1.005,0.319,32.404,apc
1000,1.1980672,2.68,0.2362,0.37,0.107,0.0683,1.019,0.314,31.449,apc
1000,1.3724128,3.07,0.2699,0.4101,0.1051,0.0691,1.032,0.309,30.504,apc
1000,1.542288,3.45,0.3036,0.4473,0.1029,0.0699,1.043,0.302,29.571,apc
1000,1.7121632,3.83,0.3374,0.4816,0.1005,0.0704,1.051,0.295,28.653,apc
1000,1.8865087999999999,4.22,0.3711,0.5131,0.0977,0.0707,1.055,0.287,27.753,apc
1000,2.056384,4.6,0.4048,0.5419,0.0946,0.0707,1.056,0.278,26.87,apc
1000,2.2262592000000003,4.98,0.4386,0.5681,0.0912,0.0704,1.052,0.268,26.003,apc
1000,2.4006048,5.37,0.4723,0.5918,0.0875,0.0698,1.042,0.257,25.15,apc
1000,2.57048,5.75,0.506,0.6127,0.0833,0.0688,1.027,0.245,24.305,apc
1000,2.7403551999999998,6.13,0.5398,0.6309,0.0788,0.0674,1.007,0.232,23.46,apc
1000,2.9147008,6.52,0.5735,0.6459,0.0739,0.0656,0.98,0.217,22.608,apc
1000,3.084576,6.9,0.6073,0.6575,0.0687,0.0635,0.948,0.202,21.734,apc
1000,3.2544512,7.28,0.641,0.665,0.0632,0.0609,0.909,0.186,20.825,apc
1000,3.4287967999999998,7.67,0.6747,0.6676,0.0574,0.058,0.866,0.169,19.861,apc
1000,3.598672,8.05,0.7085,0.6643,0.0513,0.0547,0.817,0.151,18.821,apc
1000,3.7685472,8.43,0.7422,0.6536,0.0451,0.0512,0.765,0.133,17.676,apc
1000,3.9428928,8.82,0.7759,0.6335,0.0388,0.0475,0.709,0.114,16.389,apc
1000,4.112768,9.2,0.8097,0.6014,0.0323,0.0435,0.649,0.095,14.911,apc
1000,4.2826432,9.58,0.8434,0.5533,0.0258,0.0393,0.587,0.076,13.168,apc
1000,4.4569888,9.97,0.8771,0.4829,0.0193,0.035,0.522,0.057,11.052,apc
1000,4.626863999999999,10.35,0.9109,0.3807,0.0128,0.0305,0.456,0.037,8.39,apc
1000,4.7967392,10.73,0.9446,0.2302,0.0063,0.0259,0.387,0.019,4.891,apc
1000,4.9710848,11.12,0.9784,0.001,0,0.0213,0.318,0,0.02,apc
2000,0,0,0,0,0.1156,0.0558,6.661,1.359,20.803,apc
2000,0,0,0,0,0.1156,0.0558,6.7113,1.36115532,20.68142011510676,apc
2000,0.3442208,0.77,0.034,0.0686,0.1148,0.0569,6.791,1.35,20.269,apc
