RPM,Velocity (m/s),Velocity (mph),J,Efficiency,Ct,Cp,Power (W),Thrust (N),Thrust/Power,Source
1000,0,0,0,0,0.1012,0.0469,1.515,0.551,37.102,apc
1000,0,0,0,0,0.1012,0.0469,1.4914,0.55157928,37.71317785695939,apc
1000,0.1743456,0.39,0.0296,0.0622,0.1003,0.0477,1.539,0.546,36.182,apc
1000,0.3486912,0.78,0.0592,0.1212,0.0993,0.0485,1.564,0.541,35.247,apc
1000,0.5275072,1.18,0.0887,0.1769,0.0981,0.0492,1.588,0.534,34.303,apc
1000,0.7018528,1.57,0.1183,0.2294,0.0968,0.0499,1.612,0.527,33.354,apc
1000,0.8761983999999999,1.96,0.1479,0.2786,0.0954,0.0506,1.634,0.519,32.405,apc
1000,1.050544,2.35,0.1775,0.3245,0.0938,0.0513,1.655,0.511,31.462,apc
1000,1.22936,2.75,0.2071,0.3674,0.092,0.0519,1.674,0.501,30.526,apc
1000,1.4037056,3.14,0.2366,0.4071,0.09,0.0523,1.689,0.49,29.602,apc
1000,1.5780512,3.53,0.2662,0.4439,0.0878,0.0527,1.7,0.478,28.691,apc
1000,1.7523967999999999,3.92,0.2958,0.4778,0.0854,0.0529,1.707,0.465,27.794,apc
1000,1.9267423999999997,4.31,0.3254,0.509,0.0828,0.0529,1.708,0.451,26.913,apc
1000,2.1055584,4.71,0.355,0.5373,0.0799,0.0528,1.703,0.435,26.045,apc
1000,2.2799039999999997,5.1,0.3845,0.563,0.0767,0.0524,1.691,0.418,25.19,apc
1000,2.4542496000000003,5.49,0.4141,0.5859,0.0732,0.0518,1.671,0.399,24.342,apc
1000,2.6285952,5.88,0.4437,0.6059,0.0695,0.0509,1.643,0.379,23.497,apc
1000,2.8029407999999996,6.27,0.4733,0.623,0.0655,0.0498,1.607,0.357,22.647,apc
1000,2.9817568,6.67,0.5029,0.6367,0.0613,0.0484,1.562,0.334,21.784,apc
1000,3.1561024,7.06,0.5324,0.6466,0.0568,0.0468,1.509,0.309,20.895,apc
1000,3.330448,7.45,0.562,0.6522,0.0521,0.0449,1.448,0.283,19.968,apc
1000,3.5047935999999997,7.84,0.5916,0.6528,0.0472,0.0427,1.379,0.257,18.984,apc
1000,3.6836096,8.24,0.6212,0.6471,0.0421,0.0404,1.304,0.229,17.925,apc
1000,3.8579552,8.63,0.6508,0.634,0.0369,0.0379,1.223,0.201,16.763,apc
1000,4.0323008,9.02,0.6803,0.6116,0.0316,0.0352,1.136,0.172,15.467,apc
1000,4.2066464,9.41,0.7099,0.5772,0.0263,0.0324,1.045,0.143,13.989,apc
1000,4.380992,9.8,0.7395,0.5271,0.0209,0.0294,0.949,0.114,12.263,apc
1000,4.559807999999999,10.2,0.7691,0.4557,0.0156,0.0263,0.849,0.085,10.194,apc
1000,4.7341536,10.59,0.7987,0.3542,0.0102,0.0231,0.746,0.056,7.63,apc
1000,4.9084992000000005,10.98,0.8282,0.2081,0.005,0.0198,0.64,0.027,4.323,apc
1000,5.082844799999999,11.37,0.8578,-0.0082,-0.0002,0.0165,0.533,-0.001,-0.164,apc
2000,0,0,0,0,0.1016,0.043,11.105,2.213,20.316,apc
2000,0,0,0,0,0.1016,0.043,11.185500000000001,2.21076534,20.154246661192275,apc
2000,0.357632,0.8,0.0303,0.0695,0.1006,0.0438,11.315,2.192,19.754,apc
2000,0.715264,1.6,0.0605,0.135,0.0996,0.0447,11.529,2.169,19.185,apc
2000,1.0773664,2.41,0.0908,0.1964,0.0984,0.0455,11.742,2.143,18.614,apc
2000,1.4349984,3.21,0.1211,0.2539,0.0971,0.0463,11.952,2.115,18.044,apc
2000,1.7926304,4.01,0.1513,0.3074,0.0956,0.0471,12.152,2.083,17.477,apc
2000,2.1502624,4.81,0.1816,0.3571,0.094,0.0478,12.338,2.047,16.918,apc
2000,2.5123648,5.62,0.2118,0.4031,0.0921,0.0484,12.504,2.007,16.368,apc
2000,2.8699968,6.42,0.2421,0.4455,0.0901,0.049,12.643,1.963,15.829,apc
2000,3.2276287999999997,7.22,0.2724,0.4845,0.0878,0.0494,12.749,1.913,15.302,apc
2000,3.5852608,8.02,0.3026,0.5203,0.0853,0.0496,12.814,1.858,14.789,apc
2000,3.9473632,8.83,0.3329,0.553,0.0825,0.0497,12.831,1.798,14.289,apc
2000,4.3049952000000005,9.63,0.3632,0.5827,0.0795,0.0496,12.794,1.732,13.803,apc
2000,4.6626272,10.43,0.3934,0.6095,0.0762,0.0492,12.695,1.659,13.329,apc
2000,5.0202592,11.23,0.4237,0.6335,0.0726,0.0485,12.53,1.581,12.864,apc
2000,5.382361599999999,12.04,0.4539,0.6547,0.0687,0.0476,12.295,1.496,12.407,apc
2000,5.7399936,12.84,0.4842,0.6727,0.0645,0.0464,11.986,1.405,11.952,apc
2000,6.0976256,13.64,0.5145,0.6875,0.06,0.0449,11.601,1.308,11.496,apc
2000,6.4552575999999995,14.44,0.5447,0.6986,0.0553,0.0432,11.143,1.206,11.033,apc
2000,6.81736,15.25,0.575,0.7054,0.0504,0.0411,10.614,1.099,10.554,apc
2000,7.1749920000000005,16.05,0.6053,0.7072,0.0454,0.0388,10.022,0.988,10.051,apc
2000,7.532624,16.85,0.6355,0.7027,0.0401,0.0363,9.371,0.874,9.512,apc
2000,7.890255999999999,17.65,0.6658,0.6904,0.0348,0.0336,8.667,0.758,8.921,apc
2000,8.2523584,18.46,0.6961,0.668,0.0294,0.0306,7.912,0.641,8.256,apc
2000,8.609990400000001,19.26,0.7263,0.6319,0.024,0.0275,7.113,0.522,7.485,apc
2000,8.9676224,20.06,0.7566,0.5766,0.0185,0.0243,6.274,0.403,6.556,apc
2000,9.3252544,20.86,0.7868,0.4926,0.0131,0.0209,5.401,0.285,5.386,apc
2000,9.6873568,21.67,0.8171,0.3629,0.0077,0.0174,4.502,0.169,3.82,apc
2000,10.044988799999999,22.47,0.8474,0.1529,0.0025,0.0139,3.585,0.055,1.552,apc
2000,10.4026208,23.27,0.8776,,,,,,,apc
3000,0,0,0,0,0.1018,0.0413,35.793600000000005,4.99090284,14.218476329135898,apc
3000,0,0,0,0,0.1018,0.0413,36.008,4.99,14.132,apc
3000,0.5319775999999999,1.19,0.0298,0.0714,0.1009,0.0421,36.725,4.945,13.731,apc
3000,1.0594848000000001,2.37,0.0596,0.1385,0.0999,0.043,37.457,4.895,13.326,apc
3000,1.5914624,3.56,0.0894,0.2015,0.0987,0.0438,38.19,4.839,12.921,apc
3000,2.1189696000000002,4.74,0.1192,0.2602,0.0975,0.0447,38.912,4.777,12.517,apc
3000,2.6509471999999996,5.93,0.149,0.3149,0.096,0.0455,39.608,4.707,12.117,apc
3000,3.1784544,7.11,0.1788,0.3656,0.0944,0.0462,40.26,4.629,11.723,apc
3000,3.7104320000000004,8.3,0.2087,0.4125,0.0927,0.0469,40.848,4.541,11.337,apc
3000,4.2379392000000005,9.48,0.2385,0.4557,0.0907,0.0475,41.352,4.444,10.959,apc
3000,4.7699168,10.67,0.2683,0.4954,0.0885,0.0479,41.75,4.337,10.592,apc
3000,5.301894399999999,11.86,0.2981,0.5319,0.0861,0.0482,42.018,4.217,10.235,apc
3000,5.8294016,13.04,0.3279,0.5653,0.0834,0.0484,42.133,4.086,9.889,apc
3000,6.3613792,14.23,0.3577,0.5958,0.0804,0.0483,42.07,3.941,9.553,apc
3000,6.8888864,15.41,0.3875,0.6234,0.0772,0.048,41.81,3.783,9.227,apc
3000,7.420864000000001,16.6,0.4173,0.6484,0.0737,0.0474,41.333,3.612,8.911,apc
3000,7.9483712,17.78,0.4471,0.6706,0.0699,0.0466,40.623,3.427,8.601,apc
3000,8.4803488,18.97,0.4769,0.69,0.0659,0.0455,39.67,3.228,8.297,apc
3000,9.007855999999999,20.15,0.5067,0.7064,0.0615,0.0441,38.466,3.016,7.995,apc
3000,9.5398336,21.34,0.5365,0.7196,0.057,0.0425,37.009,2.792,7.692,apc
3000,10.0718112,22.53,0.5663,0.7292,0.0522,0.0405,35.311,2.557,7.384,apc
3000,10.5993184,23.71,0.5962,0.7344,0.0472,0.0383,33.392,2.314,7.065,apc
3000,11.131295999999999,24.9,0.626,0.7345,0.0421,0.0359,31.266,2.063,6.73,apc
3000,11.6588032,26.08,0.6558,0.7281,0.0369,0.0332,28.95,1.808,6.368,apc
3000,12.190780799999999,27.27,0.6856,0.7134,0.0316,0.0304,26.458,1.548,5.968,apc
3000,12.718288,28.45,0.7154,0.6875,0.0263,0.0273,23.805,1.287,5.512,apc
3000,13.2502656,29.64,0.7452,0.6459,0.0209,0.0241,21.007,1.024,4.971,apc
3000,13.7777728,30.82,0.775,0.5808,0.0156,0.0208,18.083,0.762,4.298,apc
3000,14.309750399999999,32.01,0.8048,0.478,0.0103,0.0173,15.057,0.503,3.406,apc
3000,14.8372576,33.19,0.8346,0.3085,0.0051,0.0137,11.953,0.248,2.12,apc
3000,15.3692352,34.38,0.8644,0.0013,0,0.0101,8.8,0.001,0.009,apc
3003,2.93339,6.56183,0.164818,0.398523,0.102683,0.042466,37.085,5.03837,13.8539,uiuc
3003,3.52857,7.8932,0.198259,0.46511,0.100238,0.042727,37.3129,4.9184,13.4414,uiuc
3003,4.16351,9.31351,0.233934,0.529189,0.097841,0.043251,37.7705,4.80078,12.961,uiuc
3003,4.77408,10.6793,0.26824,0.583225,0.093969,0.043218,37.7417,4.6108,12.4576,uiuc
3003,5.39675,12.0722,0.303226,0.631146,0.090693,0.043572,38.0509,4.45005,11.9256,uiuc
3003,6.05787,13.5511,0.340372,0.671909,0.086875,0.044008,38.4316,4.26271,11.3104,uiuc
3003,6.6634,14.9056,0.374395,0.700609,0.081124,0.043351,37.8579,3.98053,10.7217,uiuc
3003,7.21469,16.1388,0.40537,0.720368,0.074269,0.041793,36.4973,3.64417,10.1816,uiuc
3003,7.76946,17.3798,0.436541,0.736984,0.067168,0.039785,34.7437,3.29575,9.6729,uiuc
3003,8.27097,18.5017,0.464719,0.748733,0.060285,0.037417,32.6758,2.95802,9.23111,uiuc
3003,8.92607,19.9671,0.501527,0.766389,0.053339,0.034905,30.4821,2.6172,8.75529,uiuc
3003,9.48267,21.2122,0.532801,0.777162,0.046895,0.03215,28.0762,2.30101,8.35717,uiuc
3003,10.1697,22.7491,0.571404,0.787688,0.040358,0.029276,25.5664,1.98025,7.89826,uiuc
3003,10.7216,23.9837,0.602415,0.778116,0.033423,0.025875,22.5963,1.63997,7.4008,uiuc
3003,11.4145,25.5335,0.641343,0.749301,0.026603,0.02277,19.8847,1.30533,6.69393,uiuc
3003,11.93,26.6868,0.670311,0.696333,0.020692,0.019919,17.395,1.0153,5.9518,uiuc
3041,10.2655,22.9633,0.569577,0.785734,0.0402,0.029141,26.4268,2.02274,7.80502,uiuc
3041,10.8684,24.3119,0.603027,0.777321,0.033099,0.025678,23.2864,1.66544,7.293,uiuc
3041,11.4971,25.7182,0.637911,0.754019,0.027449,0.023223,21.06,1.38115,6.68745,uiuc
3041,12.1611,27.2036,0.674754,0.692721,0.020327,0.0198,17.9558,1.02279,5.80845,uiuc
3041,12.7843,28.5978,0.709334,0.60164,0.014089,0.016611,15.0639,0.708914,4.79885,uiuc
3041,13.3997,29.9743,0.743477,0.422227,0.007472,0.013156,11.9307,0.375967,3.2134,uiuc
3041,13.9878,31.29,0.776111,0.064315,0.000793,0.009562,8.6714,0.0399013,0.46922,uiuc
3041,14.0132,31.3467,0.777519,0.069263,0.000861,0.00966,8.76027,0.0433228,0.504288,uiuc
3041,14.0132,31.3467,0.777519,0.069263,0.000861,0.00966,8.76027,0.0433228,0.504288,uiuc
3041,14.0132,31.3467,0.777519,0.069263,0.000861,0.00966,8.76027,0.0433228,0.504288,uiuc
3041,14.0132,31.3467,0.777519,0.069263,0.000861,0.00966,8.76027,0.0433228,0.504288,uiuc
3041,14.0132,31.3467,0.777519,0.069263,0.000861,0.00966,8.76027,0.0433228,0.504288,uiuc
3041,14.0132,31.3467,0.777519,0.069263,0.000861,0.00966,8.76027,0.0433228,0.504288,uiuc
3041,14.0132,31.3467,0.777519,0.069263,0.000861,0.00966,8.76027,0.0433228,0.504288,uiuc
3041,14.0132,31.3467,0.777519,0.069263,0.000861,0.00966,8.76027,0.0433228,0.504288,uiuc
3041,14.0132,31.3467,0.777519,0.069263,0.000861,0.00966,8.76027,0.0433228,0.504288,uiuc
3041,14.0132,31.3467,0.777519,0.069263,0.000861,0.00966,8.76027,0.0433228,0.504288,uiuc
3041,14.0132,31.3467,0.777519,0.069263,0.000861,0.00966,8.76027,0.0433228,0.504288,uiuc
3041,14.0132,31.3467,0.777519,0.069263,0.000861,0.00966,8.76027,0.0433228,0.504288,uiuc
3041,14.0132,31.3467,0.777519,0.069263,0.000861,0.00966,8.76027,0.0433228,0.504288,uiuc
3041,14.0132,31.3467,0.777519,0.069263,0.000861,0.00966,8.76027,0.0433228,0.504288,uiuc
3041,14.0132,31.3467,0.777519,0.069263,0.000861,0.00966,8.76027,0.0433228,0.504288,uiuc
3041,14.0132,31.3467,0.777519,0.069263,0.000861,0.00966,8.76027,0.0433228,0.504288,uiuc
3041,14.0132,31.3467,0.777519,0.069263,0.000861,0.00966,8.76027,0.0433228,0.504288,uiuc
3971,2.77845,6.21522,0.118057,0.303122,0.108137,0.042116,85.0429,9.27801,11.1249,uiuc
3971,3.43481,7.68346,0.145946,0.364387,0.106182,0.042528,85.8748,9.11027,10.8179,uiuc
3971,4.01722,8.98629,0.170693,0.416018,0.104835,0.043014,86.8562,8.9947,10.56,uiuc
3971,4.63478,10.3677,0.196933,0.467143,0.102378,0.043159,87.1489,8.78389,10.2779,uiuc
3971,5.26344,11.774,0.223645,0.516582,0.100973,0.043714,88.2696,8.66335,10.0081,uiuc
3971,5.86944,13.1296,0.249394,0.56007,0.098279,0.043762,88.3666,8.4322,9.73044,uiuc
3971,6.50516,14.5516,0.276406,0.603298,0.096288,0.044115,89.0794,8.26138,9.45703,uiuc
3971,7.10141,15.8854,0.301741,0.638731,0.093319,0.044084,89.0168,8.00664,9.17187,uiuc
3971,7.72986,17.2912,0.328444,0.674121,0.091146,0.044408,89.671,7.8202,8.89294,uiuc
3971,8.34944,18.6772,0.35477,0.704246,0.088192,0.044428,89.7114,7.56675,8.60085,uiuc
3971,8.91912,19.9515,0.378976,0.726091,0.08456,0.044135,89.1197,7.25513,8.30139,uiuc
3971,9.56581,21.3981,0.406454,0.748876,0.08142,0.044191,89.2328,6.98572,7.983,uiuc
3971,10.163,22.7341,0.43183,0.764092,0.076443,0.043202,87.2358,6.5587,7.6666,uiuc
