L_boom,battery_y_frac,feasible,cruise_energy_Wh,total_energy_Wh,cruise_power_W,mass_kg,cd_full,ShS,Sh,battery_y0,battery_y,x_cg,y_cg,scissor_margin,tail_cl_margin,message
1.0,0.0,True,449.02187271548837,598.7346048342044,1616.4787417757582,8.178806328472904,0.13754516600578087,0.3454751998815965,0.5011668041405657,0.005630816726241172,0.04278774996656458,0.1847676056064307,0.07490336804905602,-2.923239841301495e-07,0.0,
1.0,0.25,True,449.02187271548837,598.7346048342044,1616.4787417757582,8.178806328472904,0.13757165124035906,0.3454751998815965,0.5011668041405657,0.006574032662600878,0.04373096590292429,0.1847676056064307,0.07525467841297478,-2.923239840191272e-07,0.0,
1.0,0.5,True,449.02187271548837,598.7346048342044,1616.4787417757582,8.178806328472904,0.13759816402004524,0.3454751998815965,0.5011668041405657,0.007517248598960585,0.044674181839284,0.1847676056064307,0.07560598877689356,-2.923239841301495e-07,0.0,
1.0,0.75,True,449.02187271548837,598.7346048342044,1616.4787417757582,8.178806328472904,0.13762470434741236,0.3454751998815965,0.5011668041405657,0.008460464535320292,0.045617397775643706,0.1847676056064307,0.07595729914081233,-2.923239840191272e-07,0.0,
1.0,1.0,True,449.02187271548837,598.7346048342044,1616.4787417757582,8.178806328472904,0.13765127222503376,0.3454751998815965,0.5011668041405657,0.009403680471679998,0.04656061371200341,0.1847676056064307,0.0763086095047311,-2.923239841301495e-07,0.0,
1.5,0.0,True,422.3355269213964,565.3144407890385,1520.4078969170273,8.07040159790706,0.1309213781044234,0.19941244512685066,0.2886094415171254,0.005630678602744448,0.042786194346212156,0.1910705654669304,0.06655913261251349,-4.495725861031197e-08,0.0,
1.5,0.25,True,422.3355269213964,565.3144407890385,1520.4078969170273,8.07040159790706,0.13093747583273763,0.19941244512685066,0.2886094415171254,0.006526158061027573,0.04368167380449528,0.1910705654669304,0.06689682462700922,-4.495725861031197e-08,0.0,
1.5,0.5,True,422.3355269213964,565.3144407890385,1520.4078969170273,8.07040159790706,0.13095359023463163,0.19941244512685066,0.2886094415171254,0.007421637519310699,0.044577153262778405,0.1910705654669304,0.06723451664150493,-4.495725861031197e-08,0.0,
1.5,0.75,True,422.3355269213964,565.3144407890385,1520.4078969170273,8.07040159790706,0.13096972131090306,0.19941244512685066,0.2886094415171254,0.008317116977593825,0.04547263272106153,0.1910705654669304,0.06757220865600065,-4.495725861031197e-08,0.0,
1.5,1.0,True,422.3355269213964,565.3144407890385,1520.4078969170273,8.07040159790706,0.13098586906234977,0.19941244512685066,0.2886094415171254,0.009212596435876949,0.04636811217934465,0.1910705654669304,0.06790990067049639,-4.495725861031197e-08,0.0,
2.0,0.0,True,405.06041396297877,543.7047533523764,1458.2174902667236,8.103434966124684,0.1283636102992809,0.14151987678958813,0.2050520197087822,0.005606982135267452,0.04251959805705968,0.1917533880431274,0.062239598832935,-1.2510621322237014e-07,0.0,
2.0,0.25,True,405.06041396297877,543.7047533523764,1458.2174902667236,8.103434966124684,0.12837722817734065,0.14151987678958813,0.2050520197087822,0.006653327947988785,0.043565943869781014,0.1917533880431274,0.06262507804421487,-1.2510621319461457e-07,0.0,
2.0,0.5,True,405.06041396297877,543.7047533523764,1458.2174902667236,8.103434966124684,0.12839086247450432,0.14151987678958813,0.2050520197087822,0.00769967376071012,0.044612289682502346,0.1917533880431274,0.06301055725549473,-1.2510621319461457e-07,0.0,
2.0,0.75,True,405.06041396297877,543.7047533523764,1458.2174902667236,8.103434966124684,0.1284045131913658,0.14151987678958813,0.2050520197087822,0.008746019573431454,0.045658635495223684,0.1917533880431274,0.0633960364667746,-1.2510621322237014e-07,0.0,
2.0,1.0,True,405.06041396297877,543.7047533523764,1458.2174902667236,8.103434966124684,0.12841818032851898,0.14151987678958813,0.2050520197087822,0.009792365386152788,0.046704981307945016,0.1917533880431274,0.06378151567805446,-1.2510621322237014e-07,0.0,
2.5,0.0,True,405.06041396297877,544.2347317307231,1458.2174902667236,8.320024780996647,0.12689303685120404,0.11024660162296931,0.16094159537728034,0.0056318194576672,0.042799043840491754,0.19211736725892012,0.05953531570639566,-1.4855258910484448e-07,0.0,
2.5,0.25,True,405.06041396297877,544.2347317307231,1458.2174902667236,8.320024780996647,0.12690394531473287,0.11024660162296931,0.16094159537728034,0.006701988846528117,0.04386921322935267,0.19211736725892012,0.059925270854350295,-1.4855258910484448e-07,0.0,
2.5,0.5,True,405.06041396297877,544.2347317307231,1458.2174902667236,8.320024780996647,0.1269148671394843,0.11024660162296931,0.16094159537728034,0.007772158235389032,0.04493938261821359,0.19211736725892012,0.06031522600230493,-1.4855258913260005e-07,0.0,
