n_drones,payload_kg,distance_km,fleet_Wh_per_km,cruise_Wh_per_drone,available_cruise_Wh_per_drone,CL,CD_total,thrust_required_per_drone_N,power_required_per_drone_W,feasible,reason
2,0.0,2.0,42.99725434173732,42.997254341737325,422.3355269213965,0.2630479447763494,0.1268179371649778,46.796211446345815,1547.9011563025435,True,
3,0.0,2.0,46.352535465475576,30.901690310317054,422.3355269213965,0.2630479447763494,0.09114276434766058,33.631962225257354,1112.4608511714139,True,
4,0.0,2.0,49.70781658921383,24.853908294606917,422.3355269213965,0.2630479447763494,0.07330517793900199,27.049837614713123,894.740698605849,True,
5,0.0,2.0,53.06309771295207,21.22523908518083,422.3355269213965,0.2630479447763494,0.06260262609380682,23.10056284838658,764.1086070665099,True,
6,0.0,2.0,56.41837883669031,18.80612627889677,422.3355269213965,0.2630479447763494,0.05546759153034337,20.467713004168882,677.0205460402838,True,
2,0.0,4.0,42.99725434173732,85.99450868347465,422.3355269213965,0.2630479447763494,0.1268179371649778,46.796211446345815,1547.9011563025435,True,
3,0.0,4.0,46.352535465475576,61.80338062063411,422.3355269213965,0.2630479447763494,0.09114276434766058,33.631962225257354,1112.4608511714139,True,
4,0.0,4.0,49.70781658921383,49.707816589213834,422.3355269213965,0.2630479447763494,0.07330517793900199,27.049837614713123,894.740698605849,True,
5,0.0,4.0,53.06309771295207,42.45047817036166,422.3355269213965,0.2630479447763494,0.06260262609380682,23.10056284838658,764.1086070665099,True,
6,0.0,4.0,56.41837883669031,37.61225255779354,422.3355269213965,0.2630479447763494,0.05546759153034337,20.467713004168882,677.0205460402838,True,
2,0.0,6.0,42.99725434173732,128.99176302521198,422.3355269213965,0.2630479447763494,0.1268179371649778,46.796211446345815,1547.9011563025435,True,
3,0.0,6.0,46.352535465475576,92.70507093095115,422.3355269213965,0.2630479447763494,0.09114276434766058,33.631962225257354,1112.4608511714139,True,
4,0.0,6.0,49.70781658921383,74.56172488382076,422.3355269213965,0.2630479447763494,0.07330517793900199,27.049837614713123,894.740698605849,True,
5,0.0,6.0,53.06309771295207,63.675717255542494,422.3355269213965,0.2630479447763494,0.06260262609380682,23.10056284838658,764.1086070665099,True,
6,0.0,6.0,56.41837883669031,56.418378836690316,422.3355269213965,0.2630479447763494,0.05546759153034337,20.467713004168882,677.0205460402838,True,
2,0.0,8.0,42.99725434173732,171.9890173669493,422.3355269213965,0.2630479447763494,0.1268179371649778,46.796211446345815,1547.9011563025435,True,
3,0.0,8.0,46.352535465475576,123.60676124126822,422.3355269213965,0.2630479447763494,0.09114276434766058,33.631962225257354,1112.4608511714139,True,
4,0.0,8.0,49.70781658921383,99.41563317842767,422.3355269213965,0.2630479447763494,0.07330517793900199,27.049837614713123,894.740698605849,True,
5,0.0,8.0,53.06309771295207,84.90095634072333,422.3355269213965,0.2630479447763494,0.06260262609380682,23.10056284838658,764.1086070665099,True,
6,0.0,8.0,56.41837883669031,75.22450511558708,422.3355269213965,0.2630479447763494,0.05546759153034337,20.467713004168882,677.0205460402838,True,
2,0.0,10.0,42.99725434173732,214.98627170868662,422.3355269213965,0.2630479447763494,0.1268179371649778,46.796211446345815,1547.9011563025435,True,
3,0.0,10.0,46.352535465475576,154.50845155158524,422.3355269213965,0.2630479447763494,0.09114276434766058,33.631962225257354,1112.4608511714139,True,
4,0.0,10.0,49.70781658921383,124.2695414730346,422.3355269213965,0.2630479447763494,0.07330517793900199,27.049837614713123,894.740698605849,True,
5,0.0,10.0,53.06309771295207,106.12619542590414,422.3355269213965,0.2630479447763494,0.06260262609380682,23.10056284838658,764.1086070665099,True,
6,0.0,10.0,56.41837883669031,94.03063139448386,422.3355269213965,0.2630479447763494,0.05546759153034337,20.467713004168882,677.0205460402838,True,
2,0.0,12.0,42.99725434173732,257.98352605042396,422.3355269213965,0.2630479447763494,0.1268179371649778,46.796211446345815,1547.9011563025435,True,
3,0.0,12.0,46.352535465475576,185.4101418619023,422.3355269213965,0.2630479447763494,0.09114276434766058,33.631962225257354,1112.4608511714139,True,
4,0.0,12.0,49.70781658921383,149.12344976764152,422.3355269213965,0.2630479447763494,0.07330517793900199,27.049837614713123,894.740698605849,True,
5,0.0,12.0,53.06309771295207,127.35143451108499,422.3355269213965,0.2630479447763494,0.06260262609380682,23.10056284838658,764.1086070665099,True,
6,0.0,12.0,56.41837883669031,112.83675767338063,422.3355269213965,0.2630479447763494,0.05546759153034337,20.467713004168882,677.0205460402838,True,
2,0.0,14.0,42.99725434173732,300.98078039216125,422.3355269213965,0.2630479447763494,0.1268179371649778,46.796211446345815,1547.9011563025435,True,
3,0.0,14.0,46.352535465475576,216.31183217221937,422.3355269213965,0.2630479447763494,0.09114276434766058,33.631962225257354,1112.4608511714139,True,
4,0.0,14.0,49.70781658921383,173.9773580622484,422.3355269213965,0.2630479447763494,0.07330517793900199,27.049837614713123,894.740698605849,True,
5,0.0,14.0,53.06309771295207,148.5766735962658,422.3355269213965,0.2630479447763494,0.06260262609380682,23.10056284838658,764.1086070665099,True,
6,0.0,14.0,56.41837883669031,131.6428839522774,422.3355269213965,0.2630479447763494,0.05546759153034337,20.467713004168882,677.0205460402838,True,
2,0.0,16.0,42.99725434173732,343.9780347338986,422.3355269213965,0.2630479447763494,0.1268179371649778,46.796211446345815,1547.9011563025435,True,
3,0.0,16.0,46.352535465475576,247.21352248253643,422.3355269213965,0.2630479447763494,0.09114276434766058,33.631962225257354,1112.4608511714139,True,
4,0.0,16.0,49.70781658921383,198.83126635685534,422.3355269213965,0.2630479447763494,0.07330517793900199,27.049837614713123,894.740698605849,True,
5,0.0,16.0,53.06309771295207,169.80191268144665,422.3355269213965,0.2630479447763494,0.06260262609380682,23.10056284838658,764.1086070665099,True,
6,0.0,16.0,56.41837883669031,150.44901023117416,422.3355269213965,0.2630479447763494,0.05546759153034337,20.467713004168882,677.0205460402838,True,
2,0.0,18.0,42.99725434173732,386.9752890756359,422.3355269213965,0.2630479447763494,0.1268179371649778,46.796211446345815,1547.9011563025435,True,
