payload_kg,range_km,best_n_drones,total_system_Wh_per_km,total_system_climb_energy_Wh,total_system_energy_required_Wh,battery_usable_fraction,usable_system_battery_Wh,usable_cruise_battery_Wh,battery_limited_range_km,feasible,reason
0.0,0.0,3,9.790552740677805,16.054344218567053,16.054344218567053,0.8,1335.8145296372386,1319.7601854186714,134.79935406867577,True,
0.0,0.25,3,9.790552740677805,16.054344218567053,18.501982403736505,0.8,1335.8145296372386,1319.7601854186714,134.79935406867577,True,
0.0,0.5,3,9.790552740677805,16.054344218567053,20.949620588905955,0.8,1335.8145296372386,1319.7601854186714,134.79935406867577,True,
0.0,0.75,3,9.790552740677805,16.054344218567053,23.397258774075407,0.8,1335.8145296372386,1319.7601854186714,134.79935406867577,True,
0.0,1.0,3,9.790552740677805,16.054344218567053,25.844896959244856,0.8,1335.8145296372386,1319.7601854186714,134.79935406867577,True,
0.0,1.25,3,9.790552740677805,16.054344218567053,28.29253514441431,0.8,1335.8145296372386,1319.7601854186714,134.79935406867577,True,
0.0,1.5,3,9.790552740677805,16.054344218567053,30.74017332958376,0.8,1335.8145296372386,1319.7601854186714,134.79935406867577,True,
0.0,1.75,3,9.790552740677805,16.054344218567053,33.18781151475321,0.8,1335.8145296372386,1319.7601854186714,134.79935406867577,True,
0.0,2.0,3,9.790552740677805,16.054344218567053,35.63544969992266,0.8,1335.8145296372386,1319.7601854186714,134.79935406867577,True,
0.0,2.25,3,9.790552740677805,16.054344218567053,38.08308788509211,0.8,1335.8145296372386,1319.7601854186714,134.79935406867577,True,
0.0,2.5,3,9.790552740677805,16.054344218567053,40.530726070261565,0.8,1335.8145296372386,1319.7601854186714,134.79935406867577,True,
0.0,2.75,3,9.790552740677805,16.054344218567053,42.97836425543102,0.8,1335.8145296372386,1319.7601854186714,134.79935406867577,True,
0.0,3.0,3,9.790552740677805,16.054344218567053,45.42600244060047,0.8,1335.8145296372386,1319.7601854186714,134.79935406867577,True,
0.0,3.25,3,9.790552740677805,16.054344218567053,47.87364062576992,0.8,1335.8145296372386,1319.7601854186714,134.79935406867577,True,
0.0,3.5,3,9.790552740677805,16.054344218567053,50.32127881093937,0.8,1335.8145296372386,1319.7601854186714,134.79935406867577,True,
0.0,3.75,3,9.790552740677805,16.054344218567053,52.76891699610882,0.8,1335.8145296372386,1319.7601854186714,134.79935406867577,True,
0.0,4.0,3,9.790552740677805,16.054344218567053,55.216555181278274,0.8,1335.8145296372386,1319.7601854186714,134.79935406867577,True,
0.0,4.25,3,9.790552740677805,16.054344218567053,57.664193366447726,0.8,1335.8145296372386,1319.7601854186714,134.79935406867577,True,
0.0,4.5,3,9.790552740677805,16.054344218567053,60.11183155161718,0.8,1335.8145296372386,1319.7601854186714,134.79935406867577,True,
0.0,4.75,3,9.790552740677805,16.054344218567053,62.559469736786625,0.8,1335.8145296372386,1319.7601854186714,134.79935406867577,True,
0.0,5.0,3,9.790552740677805,16.054344218567053,65.00710792195608,0.8,1335.8145296372386,1319.7601854186714,134.79935406867577,True,
0.0,5.25,3,9.790552740677805,16.054344218567053,67.45474610712553,0.8,1335.8145296372386,1319.7601854186714,134.79935406867577,True,
0.0,5.5,3,9.790552740677805,16.054344218567053,69.90238429229498,0.8,1335.8145296372386,1319.7601854186714,134.79935406867577,True,
